dld_name,common_name,lat,lon,coord_confidence,note
Marsa Dubai,Dubai Marina,25.0805,55.1403,high,DLD sector name for the Marina
Al Thanyah Fifth,Jumeirah Lake Towers,25.0693,55.1414,high,JLT
Al Thanyah Third,The Views and Emirates Living,25.0880,55.1680,medium,covers The Views
Al Thanyah Fourth,The Greens,25.0980,55.1700,medium,
Burj Khalifa,Downtown Dubai,25.1972,55.2744,high,DLD sector name for Downtown
Business Bay,Business Bay,25.1857,55.2664,high,
Trade Center First,DIFC and World Trade Centre,25.2110,55.2810,medium,
Trade Center Second,Trade Centre area,25.2250,55.2870,low,
Za'abeel First,Zaabeel,25.2200,55.2900,medium,
Za'abeel Second,Zaabeel,25.2270,55.2960,low,
Al Kifaf,Wasl 1 and Zaabeel edge,25.2380,55.3010,low,
Palm Jumeirah,Palm Jumeirah,25.1124,55.1390,high,
Nakhlat Jumeirah,Palm Jumeirah,25.1124,55.1390,high,alternate DLD spelling
Jumeirah Village Circle,Jumeirah Village Circle,25.0575,55.2093,high,JVC
Jumeirah Village Triangle,Jumeirah Village Triangle,25.0480,55.1940,high,JVT
Al Barsha South Fourth,Arjan and Dubai Science Park,25.0700,55.2400,medium,
Al Barsha South Fifth,Al Barsha South,25.0620,55.2280,low,
Al Barsha South Second,Al Barsha South,25.0750,55.2200,low,
Al Barsha South Third,Al Barsha South,25.0690,55.2160,low,
Al Barsha First,Al Barsha,25.1070,55.1980,medium,
Al Barsha Second,Al Barsha,25.1140,55.2050,low,
Al Barsha Third,Al Barsha,25.1000,55.2100,low,
Al Hebiah First,Arabian Ranches,25.0520,55.2700,medium,
Al Hebiah Third,Motor City,25.0480,55.2400,medium,
Al Hebiah Fourth,Dubai Sports City,25.0370,55.2230,medium,
Al Hebiah Fifth,Damac Hills,25.0170,55.2530,medium,
Al Hebiah Sixth,Dubailand south,25.0100,55.2600,low,
Hadaeq Sheikh Mohammed Bin Rashid,Dubai Hills Estate,25.1030,55.2460,high,
Al Merkadh,Sobha Hartland and MBR City,25.1800,55.3000,medium,
Bukadra,Meydan and Bukadra,25.1650,55.3050,low,
Nad Al Shiba First,Nad Al Sheba,25.1550,55.3180,medium,
Nad Al Shiba Third,Nad Al Sheba,25.1480,55.3260,low,
Nadd Hessa,Dubai Silicon Oasis,25.1210,55.3780,high,
Al Warsan First,International City,25.1640,55.4100,high,
Al Warsan Fourth,Warsan and International City phases,25.1560,55.4200,low,
